Barcode,region
s_008um_00430_00561-1,SI
s_008um_00353_00223-1,Colon
s_008um_00627_00453-1,SI
s_008um_00431_00251-1,Colon
s_008um_00530_00259-1,Colon
s_008um_00598_00233-1,Colon
s_008um_00553_00489-1,SI
s_008um_00420_00242-1,Colon
s_008um_00366_00521-1,SI
s_008um_00348_00293-1,Colon
s_008um_00398_00277-1,Colon
s_008um_00343_00206-1,Colon
s_008um_00394_00535-1,SI
s_008um_00555_00218-1,Colon
s_008um_00564_00487-1,SI
s_008um_00403_00213-1,Colon
s_008um_00457_00269-1,Colon
s_008um_00337_00514-1,SI
s_008um_00510_00483-1,SI
s_008um_00553_00425-1,SI
s_008um_00355_00226-1,Colon
s_008um_00348_00297-1,Colon
s_008um_00444_00231-1,Colon
s_008um_00356_00279-1,Colon
s_008um_00403_00566-1,SI
s_008um_00353_00320-1,Colon
s_008um_00399_00265-1,Colon
s_008um_00451_00511-1,SI
s_008um_00521_00480-1,SI
s_008um_00522_00279-1,Colon
s_008um_00522_00245-1,Colon
s_008um_00449_00517-1,SI
s_008um_00548_00438-1,SI
s_008um_00461_00483-1,SI
s_008um_00407_00544-1,SI
s_008um_00350_00526-1,SI
